cif_id,target
N1Nd1_ICSD_644583,0.0
Dy1Rh2_ICSD_103361,0.0
Ga1S1_ICSD_201345,1.71
Tb1Zn1_ICSD_106136,0.0
La2O7Si2_ICSD_92499,4.9727
Cu4Dy3Sn4_ICSD_162826,0.0
Au1Te2_ICSD_65105,0.0
K1O8P1V2_ICSD_50670,0.0383
Cl1H3O5_ICSD_15475,5.2712
Er1Ni1Si2_ICSD_171141,0.0
Cl1Tl1_ICSD_53852,2.1732
Ce1Ir2_ICSD_621408,0.0
Er5Si4_ICSD_631163,0.0
O2V1_ICSD_4110,0.8390000000000001
Bi1Pt1Yb1_ICSD_616993,0.0
Al2Pt1_ICSD_609121,0.0
H4O6P2Sr1_ICSD_412171,6.5081
Cu1In1Te2_ICSD_600779,0.2499
I3Pb2S2Sb1_ICSD_418344,1.7673
Be12Ti1_ICSD_58745,0.0
B1H3Mg3O6_ICSD_250420,3.4819999999999998
Be12Mo1_ICSD_616334,0.0
Ga1H4K1_ICSD_169709,4.9813
Au1B2_ICSD_52699,0.0
B2Ru3Tb1_ICSD_615370,0.0
Al1N1Ti3_ICSD_52642,0.0
Hg3Te4Tl2_ICSD_182747,0.4721
Cr1O2_ICSD_166025,0.0
Pt23Si11U3_ICSD_154517,0.0
Au2In1U1_ICSD_58512,0.0
Cr2Ni1S4_ICSD_16884,0.0
N1V1_ICSD_644853,0.0
Hg1I2_ICSD_36312,1.1852
Al5B1O9_ICSD_167310,4.9438
C1Re1_ICSD_77350,0.0
Al1Co2V1_ICSD_606705,0.0
O1Pb1_ICSD_62847,1.6621
F9O1Re1Sb1_ICSD_201411,1.8981
Fe5O12Si3_ICSD_161139,1.9058
O1Ti1_ICSD_40125,0.0
Cu2K1S4V1_ICSD_402924,1.3382
Ni3O1Ti3_ICSD_29055,0.0
Mg3Pr1_ICSD_642763,0.0
C4Cd2H12O14_ICSD_170115,3.5679
Pu1Te1_ICSD_54353,0.0
Ca2In1N1_ICSD_96228,0.0
Ir4Sm3Sn13_ICSD_603092,0.0
O9P3Sc1_ICSD_20430,5.4608
I12Pt1Tb7_ICSD_424446,0.1354
C3H6N2O2_ICSD_172448,4.7005
Ca3Co4Sn13_ICSD_619211,0.0
Al1Fe1_ICSD_165164,0.0
Mn1N2Si1_ICSD_23670,2.4237
Se1_ICSD_164261,0.9708
Cd1I2_ICSD_42172,2.3708
Al2.3Sr2.7_ICSD_609406,0.0
Bi1Cr1O3_ICSD_160458,1.4191
H2Sr1_ICSD_163574,1.2972
Ba1Mg2_ICSD_170241,0.0
Dy2Si4Ti3_ICSD_96129,0.0
La1Te3_ICSD_642056,0.0
Ba2N1_ICSD_414328,0.0
Ge1Ho1Ir1_ICSD_88161,0.0
Ba3Ir2O9Sr1_ICSD_245254,0.1945
B1Ca3N3_ICSD_95814,0.5858
Cd2Sr1_ICSD_420579,0.0
O4S1Zn1_ICSD_71018,4.4503
Al1Li1Si1_ICSD_152086,0.113
Eu1F3_ICSD_95244,0.8116
La2Ni1O4_ICSD_1179,0.3037
Cl2Co5O12Se4_ICSD_416965,3.2502
Rb3Sb1Se4_ICSD_404081,1.3257
La1Se1_ICSD_641930,0.0
S3Y2_ICSD_651408,1.4901
Be2Ge1La2O7_ICSD_39117,4.0034
Ag1_ICSD_64997,0.0
B1H4Na1_ICSD_181024,6.3224
Au2Eu2Sn5_ICSD_410884,0.0
O3Sc2_ICSD_27948,4.2751
Ba1Cu1Er2O5_ICSD_72165,1.4443
Cu2Si2Y1_ICSD_164066,0.0
Fe23Ho6_ICSD_103504,0.0
As1Mn1Rh1_ICSD_610915,0.0
La1Se1Te2_ICSD_413171,0.0
Hf1Pd1Si1_ICSD_638775,0.0
Br9Rb3Sb2_ICSD_39823,1.9091
Pd1Si1_ICSD_15016,0.0
Br4Rb2Zn1_ICSD_160678,3.7661
Na1O2_ICSD_26583,0.0
O9V4_ICSD_15041,0.0
Co1La1O3_ICSD_99369,0.0991
Ir1Sn1U1_ICSD_641061,0.0
C6Co1Cr1H18N12_ICSD_806,0.7784
Br1Cr1S1_ICSD_69659,0.7609999999999999
Al16Pt7Zr6_ICSD_609168,0.0
Ba1F6Tb1_ICSD_59306,0.0
Nb1Ni1Te5_ICSD_73316,0.0
Er1Si1_ICSD_631134,0.0
Al1Ca1F6Na1_ICSD_80542,7.1209
Dy1Li1O2_ICSD_422562,4.5771
Cd5Cl1O12P3_ICSD_2527,2.2236
O3Pr2_ICSD_96198,3.1722
Cu10Sn3_ICSD_187900,0.0
Gd1Mn2_ICSD_104073,0.0
Ce1Co5_ICSD_620678,0.0
Ge1Ho1Pd2_ICSD_636654,0.0
Ge2La1Ni2_ICSD_636821,0.0
Ca1Mn1O6Si2_ICSD_25793,3.3196
La1Li2O7Ta2_ICSD_88496,0.0
O2Si1_ICSD_20604,4.9926
Cd1Li1O4P1_ICSD_71862,3.3533
Al1Nb3_ICSD_608653,0.0
O9Ti3V2_ICSD_108830,0.0
Ca1Cu1Ge2O6_ICSD_170820,1.7771
C2F6N4O6S8_ICSD_72782,1.2429
Ni1Sb2_ICSD_42724,0.0
Co1S1Sb1_ICSD_624863,0.3766
Cd1Er2Se4_ICSD_619834,0.6677
Pd1Zr1_ICSD_186410,0.0
Ag2Mo1O4_ICSD_36187,2.733
Bi2Cl1O4Y1_ICSD_92405,1.3543
C8H20N10Ni1_ICSD_110008,3.2487
Al1Li1_ICSD_240117,0.0
Be1Li1_ICSD_188829,0.0
Co1Ga2Hf6_ICSD_623077,0.0
F2Hg2_ICSD_23719,1.7558
Li16N8Nb2O1_ICSD_402220,3.3945
Ag1La1Sb2_ICSD_95221,0.0
In1Ni2_ICSD_640098,0.0
Ba6Cu11F34_ICSD_201752,2.0846
Mo3Pt1_ICSD_105071,0.0
Be1O1_ICSD_77373,7.4456
Co5Dy1_ICSD_622623,0.0
F4Pd1Sr1_ICSD_108990,2.3794
Cl3La3O6U1_ICSD_73201,1.9534
B2K3Nb3O12_ICSD_968,2.3678
C1Pb1Pt3_ICSD_77234,0.0
Cs2S1_ICSD_183207,2.1025
Fe1Sc2Si2_ICSD_20661,0.0
Ho1Si1_ICSD_182233,0.0
O2Ru1_ICSD_290498,1.4858
In1Li1O6Si2_ICSD_152082,3.7395
La1Mn1O3_ICSD_90355,0.0
Ga2Mg5_ICSD_634596,0.0
Au1Cu1_ICSD_611740,0.0
Ba1O3Ti1_ICSD_28850,2.1328
Al1C3Cl6N3_ICSD_240772,2.5356
Ga1Ti3_ICSD_635554,0.0
Er1H3_ICSD_187375,0.0
Ge4Y5_ICSD_249770,0.0
Ni1Te1_ICSD_42557,0.0
C1Pb1Ti2_ICSD_42926,0.0
O1S1Zr1_ICSD_6166,2.4152
Cl2N4O12S10_ICSD_72781,1.3297
La3O7Ta1_ICSD_168909,3.6497
Ni2Se2Tl1_ICSD_646550,0.0
Mg2P2Se6_ICSD_642731,2.0273
Al2U1_ICSD_602398,0.0
B4Rh4Tb1_ICSD_615322,0.0
As12Ce1Fe4_ICSD_610003,0.1511
Ce1Ni5_ICSD_621600,0.0
Ni1Sn1Ti1_ICSD_54259,0.0
H2O4Se1_ICSD_60942,3.3563
B2Hf1_ICSD_30422,0.0
Ba1F4Zn1_ICSD_182604,5.7228
Ca1O1_ICSD_60199,3.6357
Ga1O4P1_ICSD_30881,4.5455
As2Cd1Ge1_ICSD_42098,0.0342
C1Ga1Ta2_ICSD_617926,0.0
C1F1K1O3Sr1_ICSD_262231,4.0697
C2Co1Y1_ICSD_617465,0.0
C6Fe1K3N6_ICSD_31882,2.6016
Cr1P1_ICSD_53201,0.0
B1Fe3O6_ICSD_23863,1.5837
Pt1Rb2Se2_ICSD_40431,1.3554
Ag2Cr2O7_ICSD_2433,2.0906
Na2Nb4O11_ICSD_183855,2.9536
Si3V5_ICSD_652527,0.0
O3W1_ICSD_88367,0.7364
Ho1O4V1_ICSD_78079,2.9578
Co1Sn1U1_ICSD_625299,0.0
Ce1Li8O6_ICSD_61219,3.4402
Al2Er1_ICSD_607366,0.0
Co1Na4O3_ICSD_10473,1.4593
Co1Li1N2Sr2_ICSD_72387,0.9254
B4Li2O7_ICSD_163181,5.6321
Al3C3Sc1_ICSD_43477,0.3017
Te1Zn1_ICSD_603959,1.4766
Er4Ge6Rh7_ICSD_630644,0.0
Ru3Zr1_ICSD_185641,0.0
Al1F5K2_ICSD_81864,6.2916
Mg1O1_ICSD_41990,4.47
Co1Hf1Sn1_ICSD_107472,0.0
B1Ca1H1O5Si1_ICSD_168624,5.41
As1F5N4S4_ICSD_14083,1.7515
Ge1In7Ir1O8_ICSD_417829,0.4535
K0.33Mo1O3_ICSD_1053,0.7313
C4F3H14N1O2V1_ICSD_109495,0.047
Sb2Te3_ICSD_187537,0.1061
Cl4H2Hg1K2O1_ICSD_12118,2.6957
B1C3H12N1_ICSD_249799,6.1029
Fe3Si1_ICSD_412838,0.0
Cu1In1Se2_ICSD_628101,0.0
Cr1N1_ICSD_181080,0.0
Ag3O4Sb1_ICSD_417675,0.2417
La1O4V1_ICSD_155240,1.0965
N6Ta5_ICSD_166512,0.0
B6Ca1_ICSD_612689,0.0
O2Ti1_ICSD_31325,2.2658
Bi1Cl1O3Se1_ICSD_98000,3.5704
B2H6_ICSD_413919,5.0009
Ge1Mg1O3_ICSD_160837,2.4363
Cr2Zr1_ICSD_106885,0.0
Ga16Hf6Rh7_ICSD_634325,0.0
Ba5O21Yb8Zn4_ICSD_94228,0.0
Ag1Se2Y1_ICSD_605836,1.5195
As1Ga1O4_ICSD_201776,3.1046
Ce3Te4_ICSD_43676,0.0
As3Ca5_ICSD_609889,0.0
Dy1Pt1Si1_ICSD_90292,0.0
Zn2Zr1_ICSD_653507,0.0
Ca1Mo6S8_ICSD_62388,0.0
C2H6O12U2_ICSD_172777,3.1609
Ce1Pd2Si2_ICSD_621847,0.0
O1Ti6_ICSD_23576,0.0
F1K1O6Te3_ICSD_95727,3.0871
Ir2Lu1_ICSD_104491,0.0
O1Zr3_ICSD_27023,0.0
Mn2O4Si1_ICSD_88026,2.1978
Rh1Si1U1_ICSD_50083,0.0
C1Ta1_ICSD_618823,0.0
Al1B14Yb1_ICSD_656220,0.0
Cu5Mg16Y5_ICSD_419474,0.0
F2Ni1_ICSD_14145,3.9993
U1_ICSD_43419,0.0
Al1Er1Ge1_ICSD_607405,0.0
H2La1N1O7S1_ICSD_415675,1.4994
Al2Na7Sb5_ICSD_48168,0.2788
As1Na3_ICSD_69676,0.1506
Ge1Ir1Ti1_ICSD_636746,0.0
Ru2Y1_ICSD_650775,0.0
Gd1Mg1Pd1_ICSD_412441,0.0
Sc1_ICSD_52410,0.0
Bi3O8Re1_ICSD_185906,2.7415
Ag2Co3O14P4_ICSD_93591,0.0
Co3O4_ICSD_27498,0.3668
Dy1Ge1_ICSD_42956,0.0
N1Sc1_ICSD_157502,0.0
Ca1F6Tb1_ICSD_59988,0.0
Mg3Sb2_ICSD_52335,0.2136
Mg5Si6_ICSD_54779,0.0
Cu1O3Se1_ICSD_29508,1.1418
Te1U1_ICSD_653159,0.0
Na1Nb1O3_ICSD_28582,1.8362
